,website,region,Finanacial Status
302,http://iej.parisnanterre.fr,Ile-de-France,public
303,http://iej.unistra.fr,Grand Est,public
304,http://iejdijon.u-bourgogne.fr,Bourgogne-Franche-Comté,public
305,http://iep-fontainebleau.u-pec.fr,Ile-de-France,public
306,http://ife.chu-rouen.fr/,Normandie,public
307,http://ifergo-berck.com,Hauts-de-France,privé reconnu par l'Etat
308,http://ifis.univ-gustave-eiffel.fr/,Ile-de-France,public
309,http://ifmea.lenval.org,Provence-Alpes-Côte d'Azur,privé sous contrat
310,http://ifmi.univ-tlse2.fr,Occitanie,public
311,http://ifmk.chu-rouen.fr/,Normandie,public
312,http://iform.ch-perrens.fr,Nouvelle-Aquitaine,public
313,http://ifp.chu-rouen.fr/,Normandie,public
314,http://ifp.u-paris2.fr,Ile-de-France,public
315,http://ifps-agen.com,Nouvelle-Aquitaine,public
316,http://ifrtscorse.eu,Corse,privé hors contrat
317,http://ifsa.univ-gustave-eiffel.fr/,Ile-de-France,public
318,http://ifsi-amboise.fr,Centre-Val de Loire,public
319,http://ifsi-ifas-meuse.fr,Grand Est,public
320,http://ifsi-ifas-valentine-labbe.fr,Hauts-de-France,public
321,http://ifsi-semur-hco.fr/,Bourgogne-Franche-Comté,public
322,http://ifsi-stchamond.fr,Auvergne-Rhône-Alpes,public
323,http://ifsi.ch-bagnolssurceze.fr/,Occitanie,public
324,http://ifsi.ch-bastia.fr,Corse,public
325,http://ifsi.ch-lerouvray.fr/,Normandie,public
326,http://ifsi.ch-roubaix.fr/,Hauts-de-France,public
327,http://ifsi.chu-rouen.fr/,Normandie,public
328,http://ifsi.ghsv.org,Grand Est,privé sous contrat
329,http://ifsi.hospices-de-beaune.com,Bourgogne-Franche-Comté,public
330,http://ifsicastres.kentikaas.com,Occitanie,public
331,http://ifsimontelimar.hautetfort.com,Auvergne-Rhône-Alpes,public
332,http://igm.univ-gustave-eiffel.fr,Ile-de-France,public
333,http://ilis.univ-lille.fr,Hauts-de-France,public
334,http://impgt.univ-amu.fr,Provence-Alpes-Côte d'Azur,public
335,http://impgt.univ-amu.fr/,Provence-Alpes-Côte d'Azur,public
336,http://ind-chartres.fr,Centre-Val de Loire,privé sous contrat
337,http://inetop.cnam.fr,Ile-de-France,public
338,http://informatique-ufrst.u-bourgogne.fr/,Bourgogne-Franche-Comté,public
339,http://inspe-versailles.fr/,Ile-de-France,public
340,http://inspe.u-bourgogne.fr/presentation-du-departement-meef,Bourgogne-Franche-Comté,public
341,http://inspe.u-pec.fr,Ile-de-France,public
342,http://inspe.uca.fr/,Auvergne-Rhône-Alpes,public
343,http://inspe.unicaen.fr,Normandie,public
344,http://inspe.unistra.fr,Grand Est,public
345,http://inspe.univ-amu.fr/fr,Provence-Alpes-Côte d'Azur,public
346,http://inspe.univ-amu.fr/fr/,Provence-Alpes-Côte d'Azur,public
347,http://inspe.univ-amu.fr/fr/node/82,Provence-Alpes-Côte d'Azur,public
348,http://inspe.univ-lorraine.fr,Grand Est,public
349,http://inspe.univ-lorraine.fr/,Grand Est,public
350,http://inspe.univ-lyon1.fr/,Auvergne-Rhône-Alpes,public
351,http://inspe.universita.corsica,Corse,public
352,http://institut-saintcassien.com/,Provence-Alpes-Côte d'Azur,privé sous contrat
353,http://institutsdeformation.chu-st-etienne.fr,Auvergne-Rhône-Alpes,public
354,http://intd.cnam.fr,Ile-de-France,public
355,http://intec.cnam.fr,Ile-de-France,public
356,http://intefp.travail-emploi.gouv.fr,Auvergne-Rhône-Alpes,public
357,http://intranet.univ-rennes2.fr/cfpsyen,Bretagne,public
358,http://ints-ifocop.fr/,Ile-de-France,privé
359,http://ipag.unistra.fr,Grand Est,public
360,http://ipag.univ-fcomte.fr,Bourgogne-Franche-Comté,public
361,http://ipag.univ-poitiers.fr,Nouvelle-Aquitaine,public
362,http://ipag.univ-rouen.fr/,Normandie,public
